model_number,serial_number,manufacturer,year,freon_type
TC3B4221HA,W1C6410421,Lennox,2003,R-410A
NAC048GKC3,E053728089,Gree,2005,R-22
Y5N4Y5Q37L,Q9EMORRRAD,Gree,2020,R-134a
6AW44S3PW1,HKHA0SZFA4,Gree,2008,R-22
V3O4ME0KN1,OAVWOCUJXM,Bosch,2004,R-410A
FBKUNVP9GW,U303VBIWYY,Rheem,2021,R-290
LCX2TZRYQA,ACUCYW2V7U,LG,2001,R-22
P3XQV46969,H70OL4TYCK,Gree,2008,R-290
IBW0Y8DVUD,AUJPIW74SX,Rheem,2009,R-410A
FKJD5411KB,HS3MKC33MZ,Lennox,2012,R-22
0XLBTIUNK2,R4SHBUH9PT,York,2014,R-410A
1CFJ6DWULC,ZX1DC4H0SA,Rheem,2005,R-290
8CV4N3T5TM,9TGW3M6FWW,York,2009,R-22
9OV1DZJKSZ,DB1W0VAHYR,Rheem,2012,R-22
UACQ4TSLNJ,8E25QS0E01,Bosch,2015,R-134a
DJ7JJSUU61,C4RV1N7OJQ,Rheem,2022,R-410A
DESXCU7PQK,61AGB2LO87,LG,2004,R-290
X6AN05WQYK,JCYAFZ43KU,Rheem,2020,R-32
97Z7J0OK35,W8X5FOIAF1,Gree,2003,R-22
OF2DHLKZ0Q,XQ4GCP7G5G,Trane,2021,R-32
8GW5JJO8F8,MF5JD318QX,Daikin,2009,R-410A
701TTOTAKR,BFNXW29UTW,Rheem,2021,R-134a
T12BIJ8K63,AJRMI048ZU,Gree,2006,R-22
7GEOZ88MNW,HXPNVJXWDC,Gree,2005,R-134a
AZWT4M2UIY,FIW4FIKPPU,Gree,2003,R-134a
4K58BFM7Z1,O6YBAIT0GS,Daikin,2021,R-32
NC3Q95NXD7,DZRQT23LO3,Daikin,2005,R-22
CO7ZVDZ7OM,TCYGPBVL5H,LG,2008,R-22
UMA3P220I6,YCXP6ZJ0N3,LG,2003,R-22
I6KLH0F0PM,XSS5FLSE89,Rheem,2013,R-134a
3P7X1TAWIW,4QCCSSYMR7,Bosch,2005,R-134a
QKKK723M5G,GOERZIPABS,LG,2012,R-290
XQ8NZNHY46,I592L26B89,Lennox,2018,R-410A
V93GNKFURL,0M7AFY8G8N,York,2015,R-410A
KD1TTU7J6Y,LMP783GKIV,Gree,2008,R-22
D58XDEP4ZQ,2DQGRWVVWG,Bosch,2003,R-22
LBMFRZEF10,ZR6KLW6TC9,Gree,2001,R-22
XRTKZB7NWH,WPW3SZH63L,Rheem,2009,R-22
HG5FV8NQGP,84O5YVDJGF,Daikin,2000,R-410A
BE9URG2BJZ,D9QEAD3KXG,Gree,2010,R-22
9P8TTIQX39,TTWDTJYH2C,Trane,2009,R-22
W1T4PTNNUV,3RVAJ0X2D2,LG,2008,R-22
YA5RBKU4SK,17DIKKW4K6,Carrier,2021,R-32
Y37S4Z3662,VYIY18IMN3,Trane,2002,R-22
789ZQFNGRA,E7JR97JD2E,LG,2019,R-410A
3OWX6QB4EB,RMUOC8E4P4,Rheem,2024,R-134a
5LQJ21QVNE,SBU6W8YZ91,Trane,2009,R-410A
1QU1T6EXTG,5UNLP2T15F,Trane,2017,R-290
IJAEA6JWQH,GA9CHJURSB,Lennox,2020,R-22
8YPC12MD0W,7TEDKX25DC,LG,2013,R-22
62LDCRGHKG,TOHZYO490T,LG,2012,R-134a
WQIMHPW54X,KBUQJ6W0ES,Rheem,2010,R-22
PA6B5VVGTM,KNFU6L9Q54,Carrier,2019,R-134a
OGXMS5AKHI,4MFWHX9VV3,Daikin,2020,R-22
NKMSBN96RZ,LJ6M7QUMCF,Trane,2023,R-134a
